Time is now: 30 ns, clk=1, clr=1, l_in=0, r_in=0, s0=1, s1=1, d=1111, Actual q=1111, q=1111 Test PASSED
Time is now: 45 ns, clk=0, clr=1, l_in=0, r_in=0, s0=1, s1=0, d=1111, Actual q=1111, q=1111 Test PASSED
Time is now: 60 ns, clk=1, clr=1, l_in=0, r_in=0, s0=1, s1=0, d=1111, Actual q=1110, q=1110 Test PASSED
Time is now: 75 ns, clk=0, clr=1, l_in=0, r_in=0, s0=1, s1=0, d=1111, Actual q=1110, q=1110 Test PASSED
Time is now: 90 ns, clk=1, clr=1, l_in=0, r_in=0, s0=1, s1=0, d=1111, Actual q=1100, q=1100 Test PASSED
Time is now: 105 ns, clk=0, clr=1, l_in=0, r_in=1, s0=1, s1=0, d=1111, Actual q=1100, q=1100 Test PASSED
Time is now: 120 ns, clk=1, clr=1, l_in=0, r_in=1, s0=1, s1=0, d=1111, Actual q=1001, q=1001 Test PASSED
Time is now: 135 ns, clk=0, clr=1, l_in=0, r_in=1, s0=0, s1=1, d=1111, Actual q=1001, q=1001 Test PASSED
Time is now: 150 ns, clk=1, clr=1, l_in=0, r_in=1, s0=0, s1=1, d=1111, Actual q=0100, q=0100 Test PASSED
Time is now: 165 ns, clk=0, clr=1, l_in=1, r_in=1, s0=0, s1=1, d=1111, Actual q=0100, q=0100 Test PASSED
Time is now: 180 ns, clk=1, clr=1, l_in=1, r_in=1, s0=0, s1=1, d=1111, Actual q=1010, q=1010 Test PASSED
Time is now: 195 ns, clk=1, clr=0, l_in=1, r_in=1, s0=0, s1=1, d=1111, Actual q=0000, q=0000 Test PASSED
Time is now: 210 ns, clk=0, clr=1, l_in=1, r_in=1, s0=0, s1=1, d=1111, Actual q=0000, q=0000 Test PASSED
Time is now: 225 ns, clk=1, clr=1, l_in=1, r_in=1, s0=0, s1=1, d=1111, Actual q=1000, q=1000 Test PASSED
